Instance,TruckID,Destination,Cost,Capacity,DockPosition,added
15,6,1,619,6,2,False
16,1,2,213,6,1,False
16,2,2,213,6,2,False
16,3,4,211,6,5,False
16,4,1,227,6,5,False
16,5,4,211,6,2,False
16,6,1,227,6,2,False
16,7,4,211,6,3,False
16,8,2,213,6,2,False
16,9,2,213,6,4,False
16,10,1,227,6,2,False
16,T_new_3,3,111,6,5,True
17,1,2,220,6,1,False
17,2,2,220,6,1,False
17,3,4,219,6,3,False
17,4,4,219,6,3,False
17,5,4,219,6,2,False
17,6,3,594,6,1,False
17,7,3,594,6,2,False
17,8,3,594,6,2,False
17,9,3,594,6,2,False
17,T_new_1,1,111,6,4,True
17,T_extra_1_6746,1,111,6,4,True
18,1,2,664,6,5,False
18,2,2,664,6,4,False
18,3,1,248,6,5,False
18,4,2,664,6,3,False
18,5,2,664,6,1,False
18,6,2,664,6,1,False
18,7,2,664,6,6,False
18,8,1,248,6,3,False
18,9,2,664,6,4,False
18,T_extra_1_1110,1,248,6,2,True
19,1,2,241,6,5,False
19,2,1,382,6,5,False
19,3,1,382,6,3,False
19,4,2,241,6,2,False
19,5,1,382,6,5,False
19,6,2,241,6,4,False
19,7,1,382,6,2,False
19,T_extra_2_6817,2,241,6,5,True
20,1,2,722,6,5,False
20,2,3,291,6,7,False
20,3,2,722,6,2,False
20,4,1,656,6,3,False
20,5,2,722,6,5,False
20,6,2,722,6,3,False
20,7,1,656,6,4,False
20,T_extra_1_9392,1,656,6,6,True
21,1,4,583,6,2,False
21,2,3,328,6,2,False
21,3,2,600,6,2,False
21,4,4,583,6,3,False
21,5,4,583,6,3,False
21,6,4,583,6,4,False
21,7,4,583,6,4,False
21,8,2,600,6,2,False
21,9,1,482,6,2,False
21,T_extra_2_8097,2,600,6,3,True
22,1,1,629,6,4,False
22,2,1,629,6,1,False
22,3,2,359,6,6,False
22,4,2,359,6,4,False
22,5,1,629,6,1,False
22,6,2,359,6,4,False
22,7,1,629,6,2,False
22,8,1,629,6,6,False
22,9,1,629,6,6,False
22,T_extra_2_4355,2,359,6,6,True
23,1,4,254,6,1,False
23,2,3,515,6,1,False
23,3,3,515,6,3,False
23,4,4,254,6,6,False
23,5,4,254,6,3,False
23,6,3,515,6,6,False
23,7,2,339,6,5,False
23,8,4,254,6,6,False
23,9,1,314,6,6,False
23,10,3,515,6,6,False
23,T_extra_1_6938,1,314,6,5,True
24,1,1,372,6,1,False
24,2,2,682,6,5,False
24,3,2,682,6,5,False
24,4,1,372,6,4,False
24,5,1,372,6,4,False
24,6,2,682,6,3,False
24,7,1,372,6,3,False
24,8,1,372,6,4,False
25,1,1,763,6,4,False
25,2,2,328,6,6,False
25,3,3,777,6,3,False
25,4,2,328,6,5,False
25,5,2,328,6,1,False
25,6,2,328,6,5,False
25,T_new_4,4,111,6,4,True
25,T_extra_1_2970,1,763,6,5,True
25,T_extra_3_1367,3,777,6,6,True
25,T_extra_4_2821,4,111,6,1,True
26,1,1,306,6,2,False
26,2,2,684,6,1,False
26,3,2,684,6,1,False
26,4,1,306,6,1,False
26,5,3,516,6,1,False
26,6,1,306,6,1,False
26,7,3,516,6,4,False
26,8,2,684,6,2,False
26,9,2,684,6,2,False
27,1,2,729,6,3,False
27,2,3,655,6,2,False
27,3,3,655,6,2,False
27,4,1,260,6,1,False
27,5,1,260,6,1,False
27,6,1,260,6,2,False
27,7,2,729,6,1,False
28,1,2,535,6,2,False
28,2,1,714,6,4,False
28,3,3,676,6,2,False
28,4,2,535,6,1,False
28,5,3,676,6,1,False
28,6,2,535,6,4,False
29,1,4,543,6,3,False
29,2,3,723,6,5,False
29,3,2,516,6,2,False
29,4,1,687,6,3,False
29,5,4,543,6,3,False
29,6,1,687,6,1,False
29,7,5,427,6,2,False
29,8,4,543,6,2,False
29,9,1,687,6,2,False
29,T_extra_2_2565,2,516,6,5,True
30,1,3,611,6,4,False
30,2,5,216,6,6,False
30,3,5,216,6,2,False
30,4,3,611,6,5,False
30,5,5,216,6,3,False
30,6,2,250,6,5,False
30,7,1,273,6,2,False
30,8,2,250,6,3,False
30,9,1,273,6,6,False
